City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Junnar,IN,2022-07-19 22:12:30,19.2,73.8833,70.12,96,100,6.49
248,Alepe,CI,2022-07-19 22:12:30,5.5004,-3.6631,71.15,82,49,3.33
249,Cidreira,BR,2022-07-19 22:12:31,-30.1811,-50.2056,58.28,82,81,6.15
250,Qasigiannguit,GL,2022-07-19 22:08:13,68.8193,-51.1922,52.05,82,98,3.65
251,Mogadishu,SO,2022-07-19 22:12:32,2.0371,45.3438,75.2,76,100,17.16
252,Menzelinsk,RU,2022-07-19 22:12:32,55.7271,53.1026,56.1,91,0,9.55
253,Bonfim,BR,2022-07-19 22:12:33,3.0833,-59.95,80.67,77,60,3.09
254,Maniitsoq,GL,2022-07-19 22:12:33,65.4167,-52.9,46.9,85,91,10.71
255,Alice Springs,AU,2022-07-19 22:11:16,-23.7,133.8833,45.95,57,40,5.75
256,Broome,US,2022-07-19 22:12:34,42.2506,-75.833,89.65,56,40,6.91
257,Matamoros,MX,2022-07-19 22:12:35,25.5333,-103.25,96.91,17,75,5.75
258,Hay River,CA,2022-07-19 22:12:36,60.8156,-115.7999,62.56,67,75,12.66
259,Los Llanos De Aridane,ES,2022-07-19 22:12:36,28.6585,-17.9182,69.55,73,0,18.41
260,Wanaka,NZ,2022-07-19 22:11:11,-44.7,169.15,39.11,96,100,1.01
261,Hokitika,NZ,2022-07-19 22:12:37,-42.7167,170.9667,50.52,93,100,4.5
262,Mandalgarh,IN,2022-07-19 22:12:38,25.2,75.1,79.75,85,56,11.48
263,Acajutla,SV,2022-07-19 22:12:39,13.5928,-89.8275,85.01,74,94,4.56
264,Omboue,GA,2022-07-19 22:12:39,-1.5746,9.2618,72.43,86,100,5.99
265,Maragogi,BR,2022-07-19 22:08:45,-9.0122,-35.2225,73.09,85,6,10.49
266,Olonets,RU,2022-07-19 22:12:40,60.9847,32.9698,57.25,78,82,5.39
267,Kruisfontein,ZA,2022-07-19 22:09:32,-34.0033,24.7314,52.88,90,100,13.13
